Id,Name,CountryId,CreateDate,UpdateDate
65,Chang'an,44,4/6/2024,4/6/2024
66,GAC,44,4/6/2024,4/6/2024
67,NIO,44,4/6/2024,4/6/2024
68,Lynk & Co,44,4/6/2024,4/6/2024
69,Polestar,44,4/6/2024,4/6/2024
70,Haval,44,4/6/2024,4/6/2024
71,Wuling,44,4/6/2024,4/6/2024
72,Hongqi,44,4/6/2024,4/6/2024
73,Lifan,44,4/6/2024,4/6/2024
74,Soueast,44,4/6/2024,4/6/2024
75,Xpeng,44,4/6/2024,4/6/2024
76,WEY,44,4/6/2024,4/6/2024
77,Luxgen,247,4/6/2024,4/6/2024
78,Tata Motors,34,4/6/2024,4/6/2024
79,Mahindra,34,4/6/2024,4/6/2024
80,Maruti Suzuki,34,4/6/2024,4/6/2024
81,Force Motors,34,4/6/2024,4/6/2024
82,Premier,34,4/6/2024,4/6/2024
83,Proton,117,4/6/2024,4/6/2024
84,Perodua,117,4/6/2024,4/6/2024
85,VinFast,246,4/6/2024,4/6/2024
86,GAZ,38,4/6/2024,4/6/2024
87,VAZ,38,4/6/2024,4/6/2024
88,Lada,38,4/6/2024,4/6/2024
89,ZAZ,233,4/6/2024,4/6/2024
90,UAZ,38,4/6/2024,4/6/2024
91,Bogdan,233,4/6/2024,4/6/2024
92,Moskvitch,38,4/6/2024,4/6/2024
93,GAS,38,4/6/2024,4/6/2024
94,LuAZ,233,4/6/2024,4/6/2024
95,GAZelle,38,4/6/2024,4/6/2024
96,ZIL,38,4/6/2024,4/6/2024
97,Niva,38,4/6/2024,4/6/2024
98,KAMAZ,38,4/6/2024,4/6/2024
99,PAZ,38,4/6/2024,4/6/2024
100,Zaporozhets,233,4/6/2024,4/6/2024
101,Bogdan,233,4/6/2024,4/6/2024
102,KrAZ,233,4/6/2024,4/6/2024
103,Etalon,233,4/6/2024,4/6/2024
104,LaZ,233,4/6/2024,4/6/2024
105,BelAZ,39,4/6/2024,4/6/2024
106,MAZ,39,4/6/2024,4/6/2024
107,BKM,39,4/6/2024,4/6/2024
108,Neman,39,4/6/2024,4/6/2024
109,Belkommunmash,39,4/6/2024,4/6/2024
110,LiAZ,38,4/6/2024,4/6/2024
111,GROZ,38,4/6/2024,4/6/2024
112,Altai,38,4/6/2024,4/6/2024
113,Foton,44,4/6/2024,4/6/2024
114,Shaanxi,44,4/6/2024,4/6/2024
115,Higer,44,4/6/2024,4/6/2024
116,Huanghai,44,4/6/2024,4/6/2024
117,Zhongtong,44,4/6/2024,4/6/2024
118,Fengshen,44,4/6/2024,4/6/2024
119,Hawtai,44,4/6/2024,4/6/2024
120,Maxus,44,4/6/2024,4/6/2024
121,Nanjing,44,4/6/2024,4/6/2024
122,SMA,44,4/6/2024,4/6/2024
123,Chana,44,4/6/2024,4/6/2024
124,Xinkai,44,4/6/2024,4/6/2024
125,Haima,44,4/6/2024,4/6/2024
126,Changhe,44,4/6/2024,4/6/2024
127,Zinoro,44,4/6/2024,4/6/2024
128,Jinbei,44,4/6/2024,4/6/2024
129,JMC,44,4/6/2024,4/6/2024
130,Changfeng,44,4/6/2024,4/6/2024
131,ZX Auto,44,4/6/2024,4/6/2024
132,Huasong,44,4/6/2024,4/6/2024
133,Venucia,44,4/6/2024,4/6/2024
134,Linktour,44,4/6/2024,4/6/2024
135,Dongfeng Yueda Kia,44,4/6/2024,4/6/2024
136,Bisu,44,4/6/2024,4/6/2024
137,Changfeng Liebao,44,4/6/2024,4/6/2024
138,Shuanghuan,44,4/6/2024,4/6/2024
139,Soueast,44,4/6/2024,4/6/2024
140,Huanghai,44,4/6/2024,4/6/2024
141,JMC,44,4/6/2024,4/6/2024
142,Dongfeng Sokon,44,4/6/2024,4/6/2024
143,Changan Suzuki,44,4/6/2024,4/6/2024
144,Jiangnan,44,4/6/2024,4/6/2024
145,Jiangling,44,4/6/2024,4/6/2024
146,Rely,44,4/6/2024,4/6/2024
147,Wanfeng,44,4/6/2024,4/6/2024
148,Sichuan Tengzhong,44,4/6/2024,4/6/2024
149,Fujian Benz,44,4/6/2024,4/6/2024
150,Soueast,44,4/6/2024,4/6/2024
151,Xin Kai,44,4/6/2024,4/6/2024
152,Wanxiang,44,4/6/2024,4/6/2024
153,FAW Jie Fang,44,4/6/2024,4/6/2024
154,BYD Auto,44,4/6/2024,4/6/2024
155,Geely,44,4/6/2024,4/6/2024
156,Haval,44,4/6/2024,4/6/2024
157,Wuling,44,4/6/2024,4/6/2024
158,Lifan,44,4/6/2024,4/6/2024
159,Great Wall,44,4/6/2024,4/6/2024
160,Chery,44,4/6/2024,4/6/2024
161,Brilliance,44,4/6/2024,4/6/2024
162,Dongfeng,44,4/6/2024,4/6/2024
163,FAW,44,4/6/2024,4/6/2024
164,Chang'an,44,4/6/2024,4/6/2024
165,Baojun,44,4/6/2024,4/6/2024
166,Roewe,44,4/6/2024,4/6/2024
167,SAIC,44,4/6/2024,4/6/2024
168,Trumpchi,44,4/6/2024,4/6/2024
169,Lynk & Co,44,4/6/2024,4/6/2024
170,Hongqi,44,4/6/2024,4/6/2024
171,Luxgen,247,4/6/2024,4/6/2024
185,Fiat,48,4/6/2024,4/6/2024
186,Ferrari,48,4/6/2024,4/6/2024
187,Lamborghini,48,4/6/2024,4/6/2024
188,Alfa Romeo,48,4/6/2024,4/6/2024
189,Maserati,48,4/6/2024,4/6/2024
190,Pagani,48,4/6/2024,4/6/2024
191,Lancia,48,4/6/2024,4/6/2024
192,McLaren,54,4/6/2024,4/6/2024
193,Aston Martin,54,4/6/2024,4/6/2024
194,Lotus,54,4/6/2024,4/6/2024
