Id,Name,CityId,Street,Number,CreateDate,UpdateDate
40,dtg operations inc,35,Cedar Way,37,4/6/2024,4/6/2024
41,fox rent a car tra,80,Hill Terrace,18,4/6/2024,4/6/2024
42,skyhigh remarketing inc,18,Maple Circle,6,4/6/2024,4/6/2024
43,enterprise veh exchange/rental,22,Park Circle,15,4/6/2024,4/6/2024
44,remarketing by ge/film vehicle services,83,Hill Lane,29,4/6/2024,4/6/2024
45,jpmorgan chase bank n.a.,78,Valley Drive,47,4/6/2024,4/6/2024
46,clear view systems,22,Sunset Place,10,4/6/2024,4/6/2024
47,mercedes-benz financial services,92,Valley Street,1,4/6/2024,4/6/2024
48,high bid trading co inc,84,Valley Lane,49,4/6/2024,4/6/2024
49,exeter finance corp,53,Hill Trail,12,4/6/2024,4/6/2024
50,primeritus remarketing/oregon comm credit,28,Valley Trail,32,4/6/2024,4/6/2024
51,merchants leasing,48,Cedar Place,7,4/6/2024,4/6/2024
52,nissan north america inc.,82,Meadow Avenue,7,4/6/2024,4/6/2024
53,kia motors america  inc -lemon law buybacks,76,Maple Drive,34,4/6/2024,4/6/2024
54,mercedes-benz finc wholesale advantage,6,Forest Lane,11,4/6/2024,4/6/2024
55,mercedes benz of temecula,72,Oak Place,25,4/6/2024,4/6/2024
56,mercedes-benz usa,86,Hill Circle,7,4/6/2024,4/6/2024
57,california republic bank,39,Grove Circle,47,4/6/2024,4/6/2024
58,bmw mini financial services,3,Hill Terrace,28,4/6/2024,4/6/2024
59,remarketing by ge/manheim southern california,13,Pine Avenue,7,4/6/2024,4/6/2024
60,chrysler capital,55,Cedar Circle,6,4/6/2024,4/6/2024
61,team nissan,92,Sunset Street,6,4/6/2024,4/6/2024
62,south bay hyundai,27,Lake Road,5,4/6/2024,4/6/2024
63,south county lexus at mission viejo,64,Elm Court,44,4/6/2024,4/6/2024
64,dolan toyota scion,59,Lake Court,17,4/6/2024,4/6/2024
65,merchants automotive group,21,Grove Way,15,4/6/2024,4/6/2024
66,land rover north america llc,83,Maple Lane,14,4/6/2024,4/6/2024
67,wheels exchange llc,93,Elm Terrace,20,4/6/2024,4/6/2024
68,caprock auto remarketing,49,Lake Street,3,4/6/2024,4/6/2024
69,mercedes benz of laguna niguel,30,Park Road,41,4/6/2024,4/6/2024
70,sunshine autos,2,Oak Road,45,4/6/2024,4/6/2024
71,tycon enterprises,80,Sunset Place,46,4/6/2024,4/6/2024
72,jaguar north america llc,54,Elm Way,18,4/6/2024,4/6/2024
73,hoehn motors inc,84,Oak Road,26,4/6/2024,4/6/2024
74,dollar thrifty damage liquidation,83,Elm Lane,10,4/6/2024,4/6/2024
75,mercedes-benz finc services premier program,36,Grove Drive,28,4/6/2024,4/6/2024
76,kia of cerritos,94,Main Court,34,4/6/2024,4/6/2024
77,us bank,60,Meadow Court,4,4/6/2024,4/6/2024
78,trade in solutions irvine,95,Cedar Road,21,4/6/2024,4/6/2024
79,nissan dealer blend/ross nissan of el monte,89,Meadow Street,11,4/6/2024,4/6/2024
80,ubs wholesale,31,Oak Avenue,16,4/6/2024,4/6/2024
81,vw credit,17,Pine Court,20,4/6/2024,4/6/2024
82,bmw alphera/alphera financial services,80,Grove Circle,5,4/6/2024,4/6/2024
83,santander consumer,85,Lake Terrace,34,4/6/2024,4/6/2024
84,consolidated asset recovery systems  inc.,66,Maple Lane,30,4/6/2024,4/6/2024
85,the car exchange,10,Lake Road,3,4/6/2024,4/6/2024
86,manheim san diego,34,Elm Court,40,4/6/2024,4/6/2024
87,d auto man,26,Main Trail,39,4/6/2024,4/6/2024
88,gossler motors,79,Main Road,16,4/6/2024,4/6/2024
89,nissan motor acceptance corporation,94,Cedar Circle,4,4/6/2024,4/6/2024
90,toyota financial services/avis budget group-open,17,Sunset Road,39,4/6/2024,4/6/2024
91,stream llc dba stream remarketing solutions,15,River Place,6,4/6/2024,4/6/2024
92,american car finance inc,38,Pine Trail,5,4/6/2024,4/6/2024
93,sierra auto investment co,74,Oak Court,19,4/6/2024,4/6/2024
94,toyota chula vista dba scion,38,Park Court,12,4/6/2024,4/6/2024
95,porsche financial services,62,Lake Place,37,4/6/2024,4/6/2024
96,a l financial corporation,36,Hill Way,2,4/6/2024,4/6/2024
97,lbs financial credit union,39,Main Boulevard,6,4/6/2024,4/6/2024
98,volvo na company cars/world omni,52,Cedar Trail,40,4/6/2024,4/6/2024
99,lexus of valencia,95,Cedar Road,21,4/6/2024,4/6/2024
100,onemain rem/coast to coast auto group,58,Cedar Circle,31,4/6/2024,4/6/2024
101,bmw of riverside,14,Oak Way,7,4/6/2024,4/6/2024
102,fleet link services inc,5,Maple Court,27,4/6/2024,4/6/2024
103,ge fleet services for itself/servicer,94,Grove Road,6,4/6/2024,4/6/2024
104,american road leasing inc,33,Hill Drive,29,4/6/2024,4/6/2024
105,toyota financial services,34,Park Way,25,4/6/2024,4/6/2024
106,bank of the west,77,River Boulevard,34,4/6/2024,4/6/2024
107,volvo car financial service/world omni,62,Grove Lane,13,4/6/2024,4/6/2024
108,alliance motor cars,30,Main Court,45,4/6/2024,4/6/2024
109,volkswagen of stockton,47,Sunset Circle,29,4/6/2024,4/6/2024
110,honda of serramonte,4,Grove Way,3,4/6/2024,4/6/2024
111,l m auto wholesale,62,Hill Way,20,4/6/2024,4/6/2024
112,remarketing by ge/flagship credit acceptance,13,Lake Boulevard,41,4/6/2024,4/6/2024
113,i auto sales inc,53,Main Trail,45,4/6/2024,4/6/2024
114,audi san diego,90,Spruce Terrace,34,4/6/2024,4/6/2024
115,hertz damaged liquidation,24,Park Street,49,4/6/2024,4/6/2024
116,showcase wholesale auto llc,69,Hill Way,12,4/6/2024,4/6/2024
117,jimmy vasser toyota,48,Hill Trail,27,4/6/2024,4/6/2024
118,remarketing by ge/manheim riverside,95,Oak Avenue,17,4/6/2024,4/6/2024
119,california auto exchange,28,Oak Court,4,4/6/2024,4/6/2024
120,palm springs nissan,62,Lake Road,21,4/6/2024,4/6/2024
121,black/white auto sales,9,Grove Court,36,4/6/2024,4/6/2024
122,advantage rent a car/hertz,73,Forest Boulevard,45,4/6/2024,4/6/2024
123,ahfc/honda lease trust/hvt  inc. eot,11,Main Court,25,4/6/2024,4/6/2024
124,walters auto sales/service inc,11,Cedar Circle,31,4/6/2024,4/6/2024
125,porsche of downtown la,4,Maple Court,48,4/6/2024,4/6/2024
126,ahfc/honda lease trust/hvt  inc.,11,Forest Boulevard,17,4/6/2024,4/6/2024
127,mckenna audi/mckenna bmw,80,Meadow Road,38,4/6/2024,4/6/2024
128,lexus of thousand oaks,24,Park Terrace,47,4/6/2024,4/6/2024
129,ars/executive car leasing co,82,Meadow Lane,44,4/6/2024,4/6/2024
130,bmw of bakersfield,63,Hill Way,12,4/6/2024,4/6/2024
131,onemain rem/manheim san francisco bay,89,Valley Court,30,4/6/2024,4/6/2024
132,autobahn west enterprises inc,38,River Road,2,4/6/2024,4/6/2024
133,ford motor credit company llc pd,27,Cedar Circle,30,4/6/2024,4/6/2024
134,remarketing by ge/chase lease remarketing co,85,Maple Road,38,4/6/2024,4/6/2024
135,onemain rem/manheim southern california,43,Hill Drive,20,4/6/2024,4/6/2024
136,hoehn honda,35,Meadow Street,42,4/6/2024,4/6/2024
137,fiserv/usb dealer services northstar exchange,30,Valley Place,38,4/6/2024,4/6/2024
138,star ford lincoln,71,Park Avenue,47,4/6/2024,4/6/2024
139,nvp remarketing,68,Sunset Trail,15,4/6/2024,4/6/2024
140,myrddin fleet services,4,Spruce Drive,28,4/6/2024,4/6/2024
141,mars auto,12,Pine Avenue,9,4/6/2024,4/6/2024
142,ford motor credit company llc,73,Lake Circle,4,4/6/2024,4/6/2024
143,vpsi  inc,20,Main Drive,10,4/6/2024,4/6/2024
144,balboa thrift & loan association,13,Spruce Trail,19,4/6/2024,4/6/2024
145,orange county's credit union,74,River Boulevard,7,4/6/2024,4/6/2024
146,galpin ford studio rentals,20,Pine Place,43,4/6/2024,4/6/2024
147,premium auto wholesale,64,Forest Place,3,4/6/2024,4/6/2024
148,san diego sports cars,9,Pine Road,36,4/6/2024,4/6/2024
149,the hertz corporation/gm,59,River Terrace,23,4/6/2024,4/6/2024
150,cig financial,49,Pine Lane,4,4/6/2024,4/6/2024
151,california fleet inc,36,Lake Trail,16,4/6/2024,4/6/2024
152,enterprise fm exchange/tra/lease,34,Forest Way,18,4/6/2024,4/6/2024
153,wholesale motor sales inc,76,Sunset Circle,34,4/6/2024,4/6/2024
154,fleet street remarketing llc,13,Forest Boulevard,13,4/6/2024,4/6/2024
155,west coast acceptance,40,Elm Avenue,4,4/6/2024,4/6/2024
156,kearny pearson kia,88,Oak Avenue,29,4/6/2024,4/6/2024
157,california rent-a-car & leasing,39,Cedar Court,45,4/6/2024,4/6/2024
158,carmax # 7159,19,Sunset Boulevard,17,4/6/2024,4/6/2024
159,farm credit leasing exchange inc,53,Park Road,30,4/6/2024,4/6/2024
160,buyers auto sales,39,Grove Avenue,10,4/6/2024,4/6/2024
161,remktgedge / cars / carfinance capital llc,71,Spruce Boulevard,9,4/6/2024,4/6/2024
162,m/r motors inc,66,Park Terrace,46,4/6/2024,4/6/2024
163,tradewinds remarketing,74,Park Terrace,31,4/6/2024,4/6/2024
164,the motor car group inc,28,Sunset Terrace,30,4/6/2024,4/6/2024
165,chicago motor car corporation,74,Main Trail,18,4/6/2024,4/6/2024
166,connell chevrolet,16,Spruce Circle,14,4/6/2024,4/6/2024
167,frank toyota,36,Pine Road,19,4/6/2024,4/6/2024
168,barber honda,47,Hill Road,38,4/6/2024,4/6/2024
169,repo remarketing/central state credit union,41,Grove Place,13,4/6/2024,4/6/2024
170,north county hyundai,1,Maple Trail,29,4/6/2024,4/6/2024
171,donlen corporation,63,Park Way,45,4/6/2024,4/6/2024
172,toyota scion of downtown la,31,Hill Court,38,4/6/2024,4/6/2024
173,land rover redwood city,25,Cedar Place,29,4/6/2024,4/6/2024
174,dutton motor co,30,Park Trail,29,4/6/2024,4/6/2024
175,bell lexus,22,Forest Street,33,4/6/2024,4/6/2024
176,century dealer services corp,86,Pine Court,47,4/6/2024,4/6/2024
177,lease remarketing services inc,52,Oak Place,33,4/6/2024,4/6/2024
178,elad motors,94,River Circle,47,4/6/2024,4/6/2024
179,remarketing by ge/southern california financial,12,Oak Way,41,4/6/2024,4/6/2024
180,jaguar land rover thousand oaks,35,Park Lane,43,4/6/2024,4/6/2024
181,mercedes benz of bakersfield,24,Oak Boulevard,32,4/6/2024,4/6/2024
182,a and a auto mart inc,16,Main Street,42,4/6/2024,4/6/2024
183,remarketing by ge/mission fcu,41,Cedar Way,49,4/6/2024,4/6/2024
184,remarketing by ge/xpress rent a car,87,Maple Drive,25,4/6/2024,4/6/2024
185,autonet trading,25,Meadow Boulevard,5,4/6/2024,4/6/2024
186,sports trend auto sales,8,Maple Drive,3,4/6/2024,4/6/2024
187,sama california auto export inc,88,Spruce Court,32,4/6/2024,4/6/2024
188,rd cars,5,River Way,25,4/6/2024,4/6/2024
189,metro nissan of montclair,83,Meadow Terrace,38,4/6/2024,4/6/2024
190,remarketing services of el paso,41,Meadow Boulevard,6,4/6/2024,4/6/2024
191,mercedes benz of ontario,35,Oak Trail,23,4/6/2024,4/6/2024
192,orange coast chrysler jeep dodge,91,Elm Court,47,4/6/2024,4/6/2024
193,downtown motors inc,23,Sunset Road,34,4/6/2024,4/6/2024
194,rusnak pasadena jaguar sterling pasadena,14,Maple Trail,5,4/6/2024,4/6/2024
195,remarketing by ge/finance & thrift company,38,Pine Lane,21,4/6/2024,4/6/2024
196,cardinale gmc truck,48,Valley Circle,16,4/6/2024,4/6/2024
197,riverside car store inc,37,Spruce Boulevard,33,4/6/2024,4/6/2024
198,corona auto wholesale inc,15,Grove Way,12,4/6/2024,4/6/2024
199,prestige auto,64,Spruce Street,20,4/6/2024,4/6/2024
200,porsche of hawaii,10,Elm Circle,23,4/6/2024,4/6/2024
201,o'reilly auto parts,32,Valley Trail,33,4/6/2024,4/6/2024
202,first investors servicing corp,65,Elm Drive,32,4/6/2024,4/6/2024
203,prestige chrysler jeep dodge,70,Pine Street,43,4/6/2024,4/6/2024
204,mossy nissan oceanside,88,Pine Way,31,4/6/2024,4/6/2024
205,fletcher jones motorcars,84,Park Circle,1,4/6/2024,4/6/2024
206,phillips auto brokerage,66,Maple Way,27,4/6/2024,4/6/2024
207,onemain rem/delta dealer,2,Sunset Terrace,48,4/6/2024,4/6/2024
208,remarketing by ge/manheim california,89,Pine Court,41,4/6/2024,4/6/2024
209,symbolic motor cars,70,Main Trail,39,4/6/2024,4/6/2024
210,meridian remarketing,47,Hill Street,11,4/6/2024,4/6/2024
211,volvo na lemon law/world omni,60,Meadow Avenue,40,4/6/2024,4/6/2024
212,toyota santa monica,19,Spruce Avenue,20,4/6/2024,4/6/2024
213,apexcars net,14,Sunset Road,42,4/6/2024,4/6/2024
214,south coast toyota,25,Forest Terrace,22,4/6/2024,4/6/2024
215,onemain rem/european motors group,71,Forest Court,25,4/6/2024,4/6/2024
216,carfinders inc,43,Sunset Place,37,4/6/2024,4/6/2024
217,bmw of murrieta,8,Forest Terrace,2,4/6/2024,4/6/2024
218,manheim nevada,64,Valley Trail,15,4/6/2024,4/6/2024
219,la costa auto sales,59,River Lane,36,4/6/2024,4/6/2024
220,richard j bartlett jr enterprises,8,Park Circle,17,4/6/2024,4/6/2024
221,mckenna volks,81,Grove Court,22,4/6/2024,4/6/2024
222,800 loan mart,85,Hill Way,20,4/6/2024,4/6/2024
223,smith volvo inc,48,Park Trail,7,4/6/2024,4/6/2024
224,newport coast auto com,87,Main Street,11,4/6/2024,4/6/2024
225,m and m enterprises,7,River Circle,45,4/6/2024,4/6/2024
226,western fcu,21,River Drive,19,4/6/2024,4/6/2024
227,repo remarketing/schools first fcu,66,Maple Terrace,10,4/6/2024,4/6/2024
228,remarketing by ge/golden 1 credit union,81,Valley Boulevard,43,4/6/2024,4/6/2024
229,northwestern chrys/j/d/ge,62,Oak Avenue,24,4/6/2024,4/6/2024
230,wholesale enterprise inc,59,Lake Court,26,4/6/2024,4/6/2024
231,david wilsons ford of orange,26,Elm Boulevard,9,4/6/2024,4/6/2024
232,a l financial,24,Forest Terrace,39,4/6/2024,4/6/2024
233,north star auto inc,41,Spruce Drive,31,4/6/2024,4/6/2024
234,rancho ford,63,Park Circle,5,4/6/2024,4/6/2024
235,cox fleet,52,Grove Way,32,4/6/2024,4/6/2024
236,bill pearce motors,38,Meadow Terrace,17,4/6/2024,4/6/2024
237,ideal lease,3,Spruce Boulevard,23,4/6/2024,4/6/2024
238,robinson ford sales inc,29,Forest Terrace,15,4/6/2024,4/6/2024
239,onemain rem/e motorcars,48,Grove Drive,47,4/6/2024,4/6/2024
240,onemain rem/access auto remarketing,91,Elm Road,19,4/6/2024,4/6/2024
241,ln auto center inc,49,Main Avenue,36,4/6/2024,4/6/2024
242,fox rent a car,90,Pine Way,2,4/6/2024,4/6/2024
243,ecars,64,Meadow Street,38,4/6/2024,4/6/2024
244,puklich chevrolet inc,3,Spruce Drive,24,4/6/2024,4/6/2024
245,fleet masters,52,Pine Avenue,45,4/6/2024,4/6/2024
246,larry h miller toyota corona,46,Grove Avenue,34,4/6/2024,4/6/2024
247,hertz corporation/gdp,27,Valley Road,45,4/6/2024,4/6/2024
248,enterprise holdings/gdp,67,Spruce Court,26,4/6/2024,4/6/2024
249,avis rac/san francisco,38,Grove Trail,27,4/6/2024,4/6/2024
250,pv holding inc/gdp,51,Park Place,38,4/6/2024,4/6/2024
251,s/s auto wholesale,77,River Court,44,4/6/2024,4/6/2024
252,honda of santa maria,88,Sunset Terrace,3,4/6/2024,4/6/2024
253,repo remarketing/skyone fcu,20,Elm Drive,9,4/6/2024,4/6/2024
254,certified preowned ford&lincoln/mercury dlr unit,14,Main Drive,14,4/6/2024,4/6/2024
255,westside auto imports,7,Cedar Terrace,37,4/6/2024,4/6/2024
256,commerce hyundai,50,Maple Court,18,4/6/2024,4/6/2024
257,leadfoot auto sales,72,Grove Way,8,4/6/2024,4/6/2024
258,all county leasing inc,66,Meadow Trail,33,4/6/2024,4/6/2024
259,calstar motors inc,80,Lake Lane,37,4/6/2024,4/6/2024
260,titlebucks/tucson az1,77,Lake Trail,29,4/6/2024,4/6/2024
261,lexus of riverside,70,Cedar Lane,36,4/6/2024,4/6/2024
262,lexus of stevens creek,45,Sunset Court,17,4/6/2024,4/6/2024
263,motor city buick gmc,72,Forest Drive,36,4/6/2024,4/6/2024
264,sst financial,86,Main Boulevard,18,4/6/2024,4/6/2024
265,repo remarketing/twin star credit union,13,Lake Avenue,9,4/6/2024,4/6/2024
266,nissan technical center,80,Oak Lane,12,4/6/2024,4/6/2024
267,rae pre owned cars inc,28,Sunset Court,17,4/6/2024,4/6/2024
268,ge capital fleet services,36,Forest Street,30,4/6/2024,4/6/2024
269,wells fargo financial acceptance,20,Spruce Road,36,4/6/2024,4/6/2024
270,onemain rem/casey's car inc,8,Park Road,15,4/6/2024,4/6/2024
271,thrifty car rental,56,Spruce Court,45,4/6/2024,4/6/2024
272,livermore toyota and livermore scion,60,Maple Terrace,49,4/6/2024,4/6/2024
273,caseys cars inc,48,Main Circle,37,4/6/2024,4/6/2024
274,rio vista chevrolet,60,Hill Way,2,4/6/2024,4/6/2024
275,consumer portfolio services,47,Maple Circle,23,4/6/2024,4/6/2024
276,first financial credit union,84,Cedar Court,42,4/6/2024,4/6/2024
277,jordan auto,41,Meadow Lane,23,4/6/2024,4/6/2024
278,auto depot,3,Main Terrace,4,4/6/2024,4/6/2024
279,repo remarketing/first imperial cu,47,Pine Trail,13,4/6/2024,4/6/2024
280,marin auto group,67,Maple Court,48,4/6/2024,4/6/2024
281,north bakersfield toyota scion,87,Park Avenue,18,4/6/2024,4/6/2024
282,nextgear capital,51,Sunset Court,41,4/6/2024,4/6/2024
283,porsche fin svcs dba bentley financial services,19,Elm Circle,9,4/6/2024,4/6/2024
284,cal west motors,60,Elm Road,47,4/6/2024,4/6/2024
285,millennium cars,87,Hill Boulevard,24,4/6/2024,4/6/2024
286,california auto finance,22,Park Road,21,4/6/2024,4/6/2024
287,concord honda,84,Spruce Boulevard,19,4/6/2024,4/6/2024
288,daimler daiichi corp,22,Park Place,30,4/6/2024,4/6/2024
289,remarketing by ge/ge capital solutions,38,Park Boulevard,40,4/6/2024,4/6/2024
290,mercedes benz of san francisco,54,Sunset Circle,10,4/6/2024,4/6/2024
291,rock honda,30,Forest Court,13,4/6/2024,4/6/2024
292,lancaster honda,4,Oak Place,44,4/6/2024,4/6/2024
293,eddies memories,1,Valley Court,36,4/6/2024,4/6/2024
294,honda of pasadena,67,Sunset Boulevard,46,4/6/2024,4/6/2024
295,david wilsons villa ford,44,Lake Drive,46,4/6/2024,4/6/2024
296,first commonwealth fcu,3,Main Court,5,4/6/2024,4/6/2024
297,inter auto trade inc,52,Pine Circle,28,4/6/2024,4/6/2024
298,primeritus remarketing/loan service center,15,Lake Avenue,41,4/6/2024,4/6/2024
299,wescom credit union,39,Pine Drive,25,4/6/2024,4/6/2024
300,rab motors,74,Meadow Drive,13,4/6/2024,4/6/2024
301,mazda of orange,94,Lake Boulevard,30,4/6/2024,4/6/2024
302,s/n auto imports,45,Elm Place,21,4/6/2024,4/6/2024
303,remarketing by ge/schools first fcu,38,Meadow Street,11,4/6/2024,4/6/2024
304,tech one racing,37,Lake Way,45,4/6/2024,4/6/2024
305,power drive inc,29,Forest Avenue,3,4/6/2024,4/6/2024
306,primeritus remarketing/bank of hawaii,10,Maple Court,6,4/6/2024,4/6/2024
307,autobahn motors,72,Pine Drive,14,4/6/2024,4/6/2024
308,southwest auto inc,52,Cedar Boulevard,34,4/6/2024,4/6/2024
309,tustin community bank,61,Hill Lane,9,4/6/2024,4/6/2024
310,bob baker jeep,87,Spruce Circle,16,4/6/2024,4/6/2024
311,audi concord,48,Hill Court,19,4/6/2024,4/6/2024
312,navy fcu,78,Cedar Lane,28,4/6/2024,4/6/2024
313,lincoln financial services,1,River Boulevard,21,4/6/2024,4/6/2024
314,remarketing by ge/nextgear capital,60,Spruce Boulevard,1,4/6/2024,4/6/2024
315,lucky imports,38,Grove Circle,43,4/6/2024,4/6/2024
316,northwest import sales,50,Elm Lane,6,4/6/2024,4/6/2024
317,honda of escondido,3,Oak Circle,27,4/6/2024,4/6/2024
318,dublin honda,31,Forest Trail,12,4/6/2024,4/6/2024
319,billion dodge chrysler jeep,74,Grove Lane,9,4/6/2024,4/6/2024
320,honda of hayward,16,Park Court,49,4/6/2024,4/6/2024
321,east bay bmw,64,Oak Road,37,4/6/2024,4/6/2024
322,champion chrysler jeep dodge,60,River Circle,38,4/6/2024,4/6/2024
323,california auto wholesale,23,Meadow Trail,44,4/6/2024,4/6/2024
324,r & r auto group inc,56,Grove Lane,16,4/6/2024,4/6/2024
325,h & h japanese auto sales llc,20,Oak Place,14,4/6/2024,4/6/2024
326,prestige auto wholesale inc,53,Park Circle,19,4/6/2024,4/6/2024
327,bmw of monrovia,62,Park Drive,14,4/6/2024,4/6/2024
328,valley kia,71,Cedar Drive,41,4/6/2024,4/6/2024
329,quality acceptance,70,Hill Lane,26,4/6/2024,4/6/2024
330,auto prime,9,Elm Avenue,27,4/6/2024,4/6/2024
331,guard auto sales,76,Forest Terrace,23,4/6/2024,4/6/2024
332,marios auto wholesale,23,Pine Place,47,4/6/2024,4/6/2024
333,veros credit,18,Lake Avenue,17,4/6/2024,4/6/2024
334,v/m auto broker,30,Pine Boulevard,24,4/6/2024,4/6/2024
335,las torres auto sales inc,32,Maple Trail,27,4/6/2024,4/6/2024
336,st claire cadillac/ st claire oldsmobile,3,Sunset Lane,38,4/6/2024,4/6/2024
337,nova auto sales inc,74,River Court,36,4/6/2024,4/6/2024
338,weseloh chevrolet,27,Grove Terrace,46,4/6/2024,4/6/2024
339,sullivan luxury cars llc,50,Maple Drive,7,4/6/2024,4/6/2024
340,infiniti of montclair,57,Elm Lane,40,4/6/2024,4/6/2024
341,huntington beach ford,3,Park Road,1,4/6/2024,4/6/2024
342,surf city nissan,96,Meadow Avenue,29,4/6/2024,4/6/2024
343,enterprise car sales/orange,68,Grove Circle,14,4/6/2024,4/6/2024
344,high line auto inc,94,Oak Circle,28,4/6/2024,4/6/2024
345,united auto rental,34,Park Boulevard,10,4/6/2024,4/6/2024
346,b & j car company,71,Spruce Street,19,4/6/2024,4/6/2024
347,volkswagen of murrieta,71,Grove Avenue,6,4/6/2024,4/6/2024
348,coast sports cars inc,53,Oak Place,42,4/6/2024,4/6/2024
349,mossy ford,63,Meadow Way,18,4/6/2024,4/6/2024
350,reliable credit association / milwaukee,24,Meadow Circle,6,4/6/2024,4/6/2024
351,first credit finance,81,Maple Drive,26,4/6/2024,4/6/2024
352,honda world,83,Spruce Trail,23,4/6/2024,4/6/2024
353,all american leasing inc,68,Meadow Avenue,40,4/6/2024,4/6/2024
354,bassett auto sales,16,Valley Place,40,4/6/2024,4/6/2024
355,acura of riverside,92,Cedar Circle,44,4/6/2024,4/6/2024
356,trade in solutions,84,Main Place,13,4/6/2024,4/6/2024
357,nissan of duarte,66,Park Court,49,4/6/2024,4/6/2024
358,felix chevrolet & cadillac,46,Elm Terrace,30,4/6/2024,4/6/2024
359,wondries toyota,26,Lake Road,12,4/6/2024,4/6/2024
360,lobel financial corp,7,Grove Street,33,4/6/2024,4/6/2024
361,redline remarketing,27,Grove Court,28,4/6/2024,4/6/2024
362,american dream auto sales,15,Park Trail,11,4/6/2024,4/6/2024
363,tidalwave finance corp,69,Grove Lane,48,4/6/2024,4/6/2024
364,zeibak auto trading,25,Grove Circle,28,4/6/2024,4/6/2024
365,bmw of san diego,64,Maple Street,34,4/6/2024,4/6/2024
366,florida state efcu,82,Hill Trail,37,4/6/2024,4/6/2024
367,enterprise fm exchange,26,Valley Street,9,4/6/2024,4/6/2024
368,win hyundai carson,91,Hill Boulevard,44,4/6/2024,4/6/2024
369,interlease corporation,36,Hill Way,8,4/6/2024,4/6/2024
370,abc remarketing inc,84,Elm Terrace,48,4/6/2024,4/6/2024
371,hertz remarketing,67,Park Street,10,4/6/2024,4/6/2024
372,credit acceptance corp/vrs/southfield,19,Main Street,13,4/6/2024,4/6/2024
373,yucca valley chrysler plymouth dodge inc,1,River Road,20,4/6/2024,4/6/2024
374,quality auto center,30,Spruce Terrace,41,4/6/2024,4/6/2024
375,springleaf financial services/evansville,67,Maple Street,16,4/6/2024,4/6/2024
376,stg auto group,71,Elm Drive,30,4/6/2024,4/6/2024
377,lithia chevrolet of redding,46,Hill Drive,37,4/6/2024,4/6/2024
378,preferred motor cars,48,River Circle,28,4/6/2024,4/6/2024
379,apex auto wholesale - gary,78,Maple Way,1,4/6/2024,4/6/2024
380,ideal transportation,29,Sunset Circle,49,4/6/2024,4/6/2024
381,bidlane llc,35,Forest Boulevard,32,4/6/2024,4/6/2024
