Id,LeaseProposalId,ConditionId,Value,CreateDate,UpdateDate
405,135,2,0,4/1/2024,4/6/2024
406,136,4,1,3/23/2024,3/30/2024
407,136,1,0,3/20/2024,4/5/2024
408,136,6,0,4/3/2024,4/4/2024
409,137,3,1,3/22/2024,4/6/2024
410,137,5,0,4/4/2024,4/2/2024
411,137,5,0,3/14/2024,4/1/2024
412,138,2,0,3/27/2024,4/6/2024
413,138,4,1,4/1/2024,3/29/2024
414,138,2,0,3/20/2024,4/6/2024
415,139,5,0,3/12/2024,4/5/2024
416,139,2,0,3/25/2024,4/2/2024
417,139,1,1,4/2/2024,4/6/2024
418,140,1,1,3/14/2024,4/6/2024
419,140,5,0,3/12/2024,3/31/2024
420,140,1,1,3/16/2024,4/4/2024
421,141,6,0,3/28/2024,3/30/2024
422,141,6,0,3/14/2024,4/5/2024
423,141,3,1,4/4/2024,3/29/2024
424,142,3,1,4/2/2024,4/3/2024
425,142,4,0,3/9/2024,3/29/2024
426,142,3,1,4/3/2024,4/3/2024
427,143,2,0,3/18/2024,3/30/2024
428,143,6,0,3/14/2024,4/2/2024
429,143,2,1,3/28/2024,4/6/2024
430,144,3,0,3/10/2024,4/5/2024
431,144,3,0,3/24/2024,3/31/2024
432,144,6,1,3/13/2024,4/3/2024
433,145,4,1,4/4/2024,4/1/2024
434,145,5,0,4/4/2024,4/3/2024
435,145,5,1,3/20/2024,4/3/2024
436,146,1,0,4/1/2024,3/31/2024
437,146,4,1,4/3/2024,3/31/2024
438,146,2,1,3/23/2024,4/5/2024
439,147,4,0,4/4/2024,4/4/2024
440,147,3,0,4/3/2024,4/2/2024
441,147,2,0,3/21/2024,4/4/2024
442,148,2,1,4/2/2024,4/5/2024
443,148,6,1,3/28/2024,3/29/2024
444,148,6,1,3/11/2024,4/3/2024
445,149,1,1,3/10/2024,4/3/2024
446,149,2,1,3/28/2024,3/31/2024
447,149,6,0,3/10/2024,3/29/2024
448,150,2,1,3/28/2024,4/6/2024
449,150,1,0,3/31/2024,4/4/2024
450,150,5,0,3/28/2024,3/31/2024
451,151,6,0,3/21/2024,4/2/2024
452,151,2,0,3/27/2024,3/30/2024
453,151,1,1,3/21/2024,4/6/2024
454,152,6,0,3/19/2024,4/5/2024
455,152,5,0,4/2/2024,4/6/2024
456,152,5,1,4/5/2024,3/29/2024
457,153,2,0,3/29/2024,4/1/2024
458,153,2,0,3/20/2024,4/1/2024
459,153,3,1,3/31/2024,3/31/2024
460,154,6,1,3/27/2024,4/4/2024
461,154,5,1,3/22/2024,4/4/2024
462,154,3,0,4/4/2024,3/31/2024
463,155,3,0,3/29/2024,4/2/2024
464,155,6,0,4/5/2024,3/31/2024
465,155,5,0,3/27/2024,4/1/2024
466,156,2,0,3/31/2024,3/31/2024
467,156,5,1,3/29/2024,4/5/2024
468,156,5,1,3/22/2024,4/4/2024
469,157,2,0,3/10/2024,4/1/2024
470,157,6,1,3/14/2024,4/6/2024
471,157,4,0,4/4/2024,4/5/2024
472,158,5,1,3/18/2024,4/2/2024
473,158,2,0,3/12/2024,3/30/2024
474,158,3,1,3/31/2024,4/5/2024
475,159,4,1,3/28/2024,4/5/2024
476,159,3,0,3/29/2024,4/3/2024
477,159,2,0,3/19/2024,4/6/2024
478,160,4,1,3/26/2024,3/29/2024
479,160,6,1,4/2/2024,4/4/2024
480,160,4,1,3/12/2024,3/30/2024
481,161,4,0,3/26/2024,4/1/2024
482,161,2,1,3/23/2024,4/1/2024
483,161,1,1,3/12/2024,3/31/2024
484,162,5,0,4/3/2024,3/30/2024
485,162,3,1,4/5/2024,4/5/2024
486,162,4,0,3/18/2024,4/3/2024
487,163,1,1,3/26/2024,3/29/2024
488,163,1,1,3/29/2024,4/5/2024
489,163,4,1,3/18/2024,4/5/2024
490,164,4,1,4/1/2024,3/30/2024
491,164,4,1,3/31/2024,4/1/2024
492,164,6,1,3/29/2024,3/30/2024
493,165,1,1,4/1/2024,4/1/2024
494,165,4,0,4/5/2024,3/31/2024
495,165,5,0,3/25/2024,4/4/2024
496,166,4,0,3/20/2024,4/3/2024
497,166,2,1,4/6/2024,4/2/2024
498,166,2,0,4/2/2024,4/6/2024
499,167,4,0,4/5/2024,4/6/2024
500,167,4,1,3/21/2024,4/3/2024
501,167,6,1,3/18/2024,3/31/2024
502,168,3,1,3/18/2024,3/29/2024
503,168,2,1,3/12/2024,3/30/2024
504,168,3,0,3/13/2024,4/3/2024
505,169,6,1,3/13/2024,3/29/2024
506,169,5,0,3/28/2024,4/5/2024
507,169,4,0,3/21/2024,4/4/2024
508,170,4,1,4/4/2024,3/29/2024
509,170,6,1,3/31/2024,4/1/2024
510,170,1,1,3/28/2024,4/2/2024
511,171,5,1,3/16/2024,3/29/2024
512,171,6,1,3/9/2024,4/5/2024
513,171,1,1,3/20/2024,4/3/2024
514,172,5,1,3/31/2024,4/2/2024
515,172,5,0,3/28/2024,4/2/2024
516,172,6,0,3/17/2024,4/5/2024
517,173,3,1,4/4/2024,4/1/2024
518,173,5,1,3/11/2024,4/1/2024
519,173,4,1,3/31/2024,4/5/2024
520,174,4,0,3/16/2024,4/6/2024
521,174,4,0,3/10/2024,4/6/2024
522,174,3,1,3/18/2024,4/1/2024
523,175,4,1,3/11/2024,4/4/2024
524,175,1,0,3/24/2024,4/5/2024
525,175,4,0,3/10/2024,4/5/2024
526,176,2,0,3/29/2024,4/2/2024
527,176,6,0,3/17/2024,4/3/2024
528,176,3,0,3/27/2024,4/2/2024
529,177,5,1,3/19/2024,3/31/2024
530,177,1,1,3/24/2024,4/5/2024
531,177,5,1,3/11/2024,4/2/2024
532,178,2,0,3/20/2024,3/29/2024
533,178,5,1,3/10/2024,3/30/2024
534,178,5,0,3/31/2024,3/29/2024
535,179,2,1,3/14/2024,3/30/2024
536,179,1,0,4/3/2024,3/30/2024
537,179,3,0,3/26/2024,4/3/2024
538,180,3,0,3/10/2024,4/6/2024
539,180,4,0,3/30/2024,4/5/2024
540,180,6,0,3/18/2024,4/1/2024
541,181,5,0,3/21/2024,4/4/2024
542,181,1,1,3/9/2024,3/29/2024
543,181,1,1,3/12/2024,3/31/2024
544,182,4,1,3/30/2024,3/31/2024
545,182,4,1,3/9/2024,4/2/2024
546,182,6,1,3/27/2024,3/31/2024
547,183,6,0,3/19/2024,4/4/2024
548,183,3,0,3/20/2024,4/1/2024
549,183,2,1,3/20/2024,4/1/2024
550,184,6,0,3/25/2024,4/6/2024
551,184,3,1,3/17/2024,4/3/2024
552,184,1,1,4/5/2024,4/2/2024
553,185,5,1,3/15/2024,4/5/2024
554,185,6,0,3/12/2024,3/31/2024
555,185,3,0,3/15/2024,3/30/2024
556,186,3,0,3/12/2024,4/4/2024
557,186,5,1,3/26/2024,4/5/2024
558,186,5,0,3/10/2024,4/5/2024
559,187,5,0,4/6/2024,4/3/2024
560,187,5,0,3/25/2024,4/3/2024
561,187,6,0,3/21/2024,4/3/2024
562,188,6,0,3/29/2024,4/5/2024
563,188,5,0,3/16/2024,4/2/2024
564,188,6,0,4/5/2024,4/6/2024
565,189,6,0,3/11/2024,4/5/2024
566,189,2,1,3/14/2024,3/30/2024
567,189,6,1,4/6/2024,3/29/2024
568,190,4,1,3/25/2024,4/6/2024
569,190,4,1,3/24/2024,3/30/2024
570,190,3,0,4/4/2024,4/4/2024
571,191,2,1,3/19/2024,3/30/2024
572,191,1,1,3/31/2024,4/3/2024
573,191,4,1,3/27/2024,4/2/2024
574,192,6,1,3/31/2024,4/4/2024
575,192,6,0,3/21/2024,4/4/2024
576,192,1,1,3/27/2024,4/4/2024
577,193,4,1,4/6/2024,4/2/2024
578,193,6,0,3/17/2024,4/2/2024
579,193,1,0,4/5/2024,3/29/2024
580,194,3,0,4/4/2024,4/3/2024
581,194,3,1,3/25/2024,4/4/2024
582,194,1,1,3/31/2024,4/3/2024
583,195,2,1,3/14/2024,4/2/2024
584,195,6,0,4/2/2024,4/4/2024
585,195,4,1,3/26/2024,4/1/2024
586,196,2,1,3/29/2024,4/4/2024
587,196,1,1,3/26/2024,3/31/2024
588,196,2,0,4/6/2024,4/4/2024
589,197,3,1,3/17/2024,3/29/2024
590,197,5,1,3/22/2024,4/2/2024
591,197,2,1,3/12/2024,3/29/2024
592,198,6,1,3/15/2024,4/4/2024
593,198,1,1,3/22/2024,4/2/2024
594,198,2,1,3/27/2024,3/29/2024
595,199,2,1,3/27/2024,3/29/2024
596,199,6,1,3/27/2024,3/29/2024
597,199,2,1,4/5/2024,4/3/2024
598,200,6,1,3/11/2024,3/31/2024
599,200,4,1,3/28/2024,4/1/2024
600,200,4,0,3/20/2024,4/2/2024
601,201,1,0,3/20/2024,4/2/2024
602,201,3,1,3/18/2024,4/1/2024
603,201,4,0,3/9/2024,4/3/2024
604,202,4,1,3/18/2024,4/4/2024
605,202,4,1,4/5/2024,4/5/2024
606,202,2,1,3/22/2024,3/29/2024
607,203,6,1,4/1/2024,3/29/2024
608,203,5,1,3/19/2024,3/29/2024
609,203,4,1,3/15/2024,4/1/2024
610,204,2,1,3/19/2024,4/1/2024
611,204,5,1,3/21/2024,4/4/2024
612,204,4,1,3/23/2024,4/2/2024
613,205,5,0,3/21/2024,3/29/2024
614,205,1,0,3/18/2024,4/5/2024
615,205,3,1,3/25/2024,4/4/2024
616,206,4,0,3/28/2024,4/5/2024
617,206,6,1,3/9/2024,4/1/2024
618,206,4,0,3/15/2024,3/30/2024
619,207,3,1,3/28/2024,4/1/2024
620,207,2,0,4/5/2024,4/2/2024
621,207,2,0,4/5/2024,4/3/2024
622,208,3,1,3/21/2024,4/4/2024
623,208,6,1,3/22/2024,4/5/2024
624,208,4,0,3/15/2024,4/1/2024
625,209,3,1,3/28/2024,3/30/2024
626,209,3,1,3/15/2024,4/5/2024
627,209,3,1,3/9/2024,3/30/2024
628,210,2,0,3/31/2024,4/4/2024
629,210,2,0,3/26/2024,4/2/2024
630,210,1,0,3/29/2024,4/4/2024
631,211,3,0,3/29/2024,4/2/2024
632,211,2,0,4/5/2024,4/4/2024
633,211,4,1,3/22/2024,3/30/2024
