Id,EmployeeId,ProposalId,CustomerId,DealershipCarId,LeaseSignDate,LeaseStartDate,LeaseEndDate,LeaseUniqueNumber,TotalPrice,Description,CreateDate,UpdateDate
32,1,3,24918,2510,12/28/2021,1/19/2022,8/15/2022,32,48051.03,Empty Description ,2/22/2022,2/22/2022
33,5,8,6688,8817,5/25/2022,6/15/2022,11/3/2022,33,38815.48,Empty Description ,6/26/2023,6/26/2023
34,2,10,8414,1587,11/19/2021,11/28/2021,7/26/2022,34,5586.57,Empty Description ,12/8/2023,12/8/2023
35,1,1,2013,9151,7/30/2021,8/19/2021,1/10/2022,35,5784.8,Empty Description ,12/2/2022,12/2/2022
36,6,5,21520,829,3/29/2024,4/15/2024,3/19/2025,36,14778.68,Empty Description ,8/30/2023,8/30/2023
37,1,10,8591,8427,9/17/2023,10/14/2023,1/30/2024,37,40471.85,Empty Description ,9/7/2022,9/7/2022
38,10,6,7834,9079,12/3/2021,12/19/2021,7/6/2022,38,40453,Empty Description ,6/29/2022,6/29/2022
39,6,7,5373,2029,9/25/2021,10/5/2021,8/20/2022,39,35528.99,Empty Description ,6/7/2022,6/7/2022
40,6,6,18940,6229,6/10/2023,6/25/2023,10/3/2023,40,20532.47,Empty Description ,11/26/2023,11/26/2023
41,1,3,25799,1130,8/25/2021,9/20/2021,8/8/2022,41,43876.52,Empty Description ,9/2/2021,9/2/2021
42,7,10,21767,4840,2/13/2024,2/24/2024,6/2/2024,42,40544.3,Empty Description ,3/17/2023,3/17/2023
43,4,3,21757,5852,7/1/2021,7/25/2021,2/24/2022,43,14681.02,Empty Description ,6/16/2021,6/16/2021
44,4,1,29234,4843,6/11/2021,7/8/2021,11/19/2021,44,36086.58,Empty Description ,7/6/2023,7/6/2023
45,9,3,12565,5320,1/17/2022,1/31/2022,6/25/2022,45,29932.25,Empty Description ,9/10/2023,9/10/2023
46,3,7,18421,8336,3/26/2023,4/20/2023,8/1/2023,46,18454.31,Empty Description ,5/13/2023,5/13/2023
47,3,3,26197,8319,12/1/2021,12/7/2021,11/12/2022,47,15242.49,Empty Description ,12/14/2021,12/14/2021
48,7,2,7065,92,3/15/2022,4/1/2022,11/26/2022,48,11446.04,Empty Description ,1/27/2022,1/27/2022
49,2,8,28538,8989,6/27/2021,7/18/2021,5/11/2022,49,31880.35,Empty Description ,6/19/2022,6/19/2022
50,5,4,7933,160,6/25/2023,6/26/2023,6/4/2024,50,48502.25,Empty Description ,4/17/2022,4/17/2022
51,4,1,28382,7412,7/9/2021,7/25/2021,12/12/2021,51,11441.75,Empty Description ,2/16/2024,2/16/2024
52,6,8,11677,8936,11/5/2022,11/20/2022,7/27/2023,52,18918.12,Empty Description ,5/6/2022,5/6/2022
53,2,1,2666,8136,7/29/2022,8/6/2022,6/9/2023,53,23990.26,Empty Description ,3/10/2023,3/10/2023
54,8,6,14743,8052,9/15/2021,9/22/2021,12/23/2021,54,30639.52,Empty Description ,8/24/2021,8/24/2021
55,7,3,3900,2962,2/19/2024,3/3/2024,10/6/2024,55,36994.07,Empty Description ,1/11/2024,1/11/2024
56,1,5,23803,4777,5/15/2022,5/31/2022,10/23/2022,56,5199.08,Empty Description ,2/12/2023,2/12/2023
57,3,8,29310,1327,9/18/2021,10/2/2021,5/26/2022,57,43407.08,Empty Description ,6/6/2022,6/6/2022
58,3,6,19466,7602,5/16/2023,6/7/2023,2/26/2024,58,47630.31,Empty Description ,11/15/2023,11/15/2023
59,4,10,5155,3336,7/3/2023,7/30/2023,2/2/2024,59,19759.06,Empty Description ,1/21/2023,1/21/2023
60,6,8,7799,7843,3/7/2023,3/12/2023,1/12/2024,60,19942.7,Empty Description ,9/18/2021,9/18/2021
61,4,1,4750,7166,2/11/2024,3/2/2024,8/25/2024,61,15396.99,Empty Description ,5/18/2023,5/18/2023
62,7,9,22798,2393,12/4/2023,12/19/2023,12/9/2024,62,433.5,Empty Description ,8/22/2023,8/22/2023
63,3,10,27936,3686,3/1/2022,3/18/2022,11/16/2022,63,45256.97,Empty Description ,7/10/2022,7/10/2022
64,10,10,5853,9331,7/27/2023,7/28/2023,11/22/2023,64,37452.58,Empty Description ,2/19/2023,2/19/2023
65,7,2,25934,5244,12/25/2023,1/8/2024,12/26/2024,65,12673.42,Empty Description ,3/8/2024,3/8/2024
66,2,1,8283,7639,12/27/2021,1/5/2022,8/14/2022,66,5953.9,Empty Description ,6/28/2023,6/28/2023
67,7,10,25975,9763,9/1/2023,9/13/2023,4/11/2024,67,4136.2,Empty Description ,10/6/2023,10/6/2023
68,5,9,17807,2214,7/18/2023,8/10/2023,7/20/2024,68,3871.79,Empty Description ,5/10/2021,5/10/2021
69,7,10,19311,3846,5/12/2022,6/1/2022,10/20/2022,69,28024.26,Empty Description ,1/30/2024,1/30/2024
70,6,2,19670,3307,7/19/2023,8/5/2023,5/25/2024,70,14498.36,Empty Description ,1/27/2023,1/27/2023
71,3,2,12239,4759,4/30/2023,5/12/2023,5/4/2024,71,38515.48,Empty Description ,9/29/2023,9/29/2023
72,10,10,10676,1049,1/15/2022,2/9/2022,7/26/2022,72,13113.59,Empty Description ,4/15/2022,4/15/2022
73,10,9,8372,2431,12/29/2023,1/5/2024,12/28/2024,73,32626.09,Empty Description ,3/15/2023,3/15/2023
74,4,1,22909,2623,11/27/2021,12/17/2021,4/7/2022,74,46487.28,Empty Description ,2/6/2023,2/6/2023
75,4,8,26522,7010,9/16/2022,10/3/2022,6/5/2023,75,47315.96,Empty Description ,7/5/2021,7/5/2021
76,7,3,20449,6029,7/18/2023,7/20/2023,5/3/2024,76,49057.8,Empty Description ,8/1/2022,8/1/2022
77,4,10,11500,4530,4/16/2023,4/26/2023,8/22/2023,77,20160.55,Empty Description ,12/10/2021,12/10/2021
78,10,6,9793,2205,2/22/2024,3/12/2024,11/28/2024,78,33381.34,Empty Description ,3/21/2022,3/21/2022
79,8,1,12469,6606,12/4/2022,12/21/2022,3/28/2023,79,34017.86,Empty Description ,12/23/2021,12/23/2021
80,6,1,20406,7511,11/7/2022,11/21/2022,6/14/2023,80,36096.06,Empty Description ,3/12/2024,3/12/2024
81,6,7,23923,8001,11/1/2021,11/17/2021,3/21/2022,81,27192.94,Empty Description ,7/12/2023,7/12/2023
82,3,3,6860,4628,2/24/2024,3/14/2024,12/21/2024,82,17790.1,Empty Description ,10/4/2023,10/4/2023
83,1,6,1661,8143,2/20/2023,3/21/2023,12/14/2023,83,41699.93,Empty Description ,1/7/2022,1/7/2022
84,2,2,27186,3939,7/27/2021,8/3/2021,2/11/2022,84,27453.79,Empty Description ,12/31/2021,12/31/2021
85,8,3,9940,7748,1/25/2022,2/16/2022,1/3/2023,85,13527.74,Empty Description ,8/3/2023,8/3/2023
86,1,6,19310,7967,4/15/2023,4/19/2023,12/1/2023,86,21077.15,Empty Description ,12/31/2023,12/31/2023
87,2,1,22524,1946,4/7/2022,4/14/2022,9/7/2022,87,27293.06,Empty Description ,1/8/2023,1/8/2023
88,2,9,19705,392,8/27/2023,9/5/2023,3/12/2024,88,23811.35,Empty Description ,4/18/2022,4/18/2022
89,9,9,22882,5247,1/18/2024,1/28/2024,9/22/2024,89,1807.81,Empty Description ,6/15/2022,6/15/2022
90,10,4,13711,731,1/7/2024,1/12/2024,7/16/2024,90,25816.08,Empty Description ,8/8/2021,8/8/2021
91,6,9,28967,3933,6/27/2023,7/6/2023,6/28/2024,91,11095.73,Empty Description ,11/8/2022,11/8/2022
92,9,2,13419,7276,3/29/2024,4/16/2024,10/31/2024,92,27597.4,Empty Description ,7/10/2022,7/10/2022
93,6,3,14165,7375,12/12/2022,1/4/2023,9/16/2023,93,41906.49,Empty Description ,11/7/2021,11/7/2021
94,8,5,12729,5454,3/28/2022,4/4/2022,2/16/2023,94,11949.04,Empty Description ,10/29/2023,10/29/2023
95,9,5,22233,8172,11/11/2023,12/8/2023,11/17/2024,95,5808.21,Empty Description ,4/1/2023,4/1/2023
96,9,6,18425,7275,9/8/2023,9/19/2023,6/6/2024,96,5630.74,Empty Description ,4/26/2021,4/26/2021
97,1,3,22436,4126,5/26/2022,6/1/2022,11/5/2022,97,17901.79,Empty Description ,8/28/2022,8/28/2022
98,3,2,15988,8291,1/9/2023,1/20/2023,11/14/2023,98,25734.72,Empty Description ,10/11/2023,10/11/2023
99,7,2,10661,6779,12/3/2022,12/16/2022,8/8/2023,99,17105.89,Empty Description ,8/10/2021,8/10/2021
100,3,1,9806,7445,2/18/2024,3/10/2024,7/13/2024,100,37968.73,Empty Description ,10/14/2023,10/14/2023
101,2,3,18029,4546,5/23/2021,5/26/2021,10/20/2021,101,45154.15,Empty Description ,1/16/2022,1/16/2022
102,8,8,25794,3657,1/19/2022,2/1/2022,8/21/2022,102,15334.25,Empty Description ,1/15/2022,1/15/2022
103,3,6,21688,2248,12/13/2021,1/1/2022,11/21/2022,103,46133.08,Empty Description ,2/9/2023,2/9/2023
104,8,1,11165,7230,1/6/2024,1/11/2024,4/20/2024,104,15914.51,Empty Description ,7/23/2023,7/23/2023
105,3,2,28305,6161,4/27/2022,5/18/2022,12/4/2022,105,11942.74,Empty Description ,4/24/2021,4/24/2021
106,1,9,13028,4669,10/10/2021,11/5/2021,2/24/2022,106,25864.33,Empty Description ,6/23/2021,6/23/2021
107,6,6,13183,9120,2/8/2023,2/9/2023,5/15/2023,107,25418.99,Empty Description ,7/24/2022,7/24/2022
108,1,6,19378,6148,9/1/2021,9/5/2021,1/1/2022,108,47117.93,Empty Description ,12/30/2022,12/30/2022
109,3,4,7792,8383,2/24/2024,3/22/2024,1/22/2025,109,25293.31,Empty Description ,11/9/2021,11/9/2021
110,1,3,24032,6188,6/13/2021,6/21/2021,12/14/2021,110,2399.77,Empty Description ,10/18/2021,10/18/2021
111,5,6,11479,3665,3/15/2022,3/24/2022,2/20/2023,111,47486.62,Empty Description ,9/15/2023,9/15/2023
112,2,5,22726,3036,6/5/2021,6/20/2021,1/31/2022,112,41619.29,Empty Description ,5/14/2021,5/14/2021
113,6,10,19117,3202,6/24/2023,6/27/2023,5/30/2024,113,25070.89,Empty Description ,9/26/2021,9/26/2021
114,10,5,29668,7022,8/3/2023,8/11/2023,12/26/2023,114,38001.69,Empty Description ,10/18/2021,10/18/2021
115,7,1,25910,155,9/10/2022,9/23/2022,3/9/2023,115,16719.33,Empty Description ,10/4/2021,10/4/2021
116,10,6,5790,3808,6/24/2021,7/21/2021,12/9/2021,116,21344.7,Empty Description ,11/17/2021,11/17/2021
117,4,9,25056,3377,3/9/2024,3/23/2024,11/26/2024,117,4493.3,Empty Description ,10/19/2022,10/19/2022
118,2,7,924,2595,6/2/2023,6/10/2023,1/25/2024,118,6360.46,Empty Description ,7/19/2021,7/19/2021
119,6,3,17480,6522,4/17/2021,4/21/2021,3/30/2022,119,38289.15,Empty Description ,11/19/2023,11/19/2023
120,10,8,1802,8676,4/3/2024,5/2/2024,9/27/2024,120,47389.73,Empty Description ,9/4/2021,9/4/2021
121,8,4,13423,2357,3/6/2023,4/1/2023,12/14/2023,121,46864.38,Empty Description ,1/13/2024,1/13/2024
122,3,7,5611,6929,1/3/2023,1/14/2023,10/20/2023,122,27196.1,Empty Description ,11/18/2021,11/18/2021
123,9,10,22563,3413,10/4/2023,10/15/2023,7/21/2024,123,4647.08,Empty Description ,5/30/2023,5/30/2023
124,2,4,6412,5830,9/15/2021,9/23/2021,2/5/2022,124,49529.47,Empty Description ,5/18/2022,5/18/2022
125,10,7,2347,2198,8/23/2023,9/1/2023,6/1/2024,125,39522.95,Empty Description ,11/22/2022,11/22/2022
126,8,10,25965,5831,4/19/2022,4/30/2022,11/28/2022,126,12940.24,Empty Description ,7/12/2021,7/12/2021
127,10,5,20018,2182,12/14/2021,12/15/2021,12/13/2022,127,27870.56,Empty Description ,9/4/2023,9/4/2023
128,7,10,15662,6231,2/19/2022,2/27/2022,12/27/2022,128,40063.29,Empty Description ,6/19/2021,6/19/2021
129,10,8,13499,875,8/15/2022,9/8/2022,4/16/2023,129,43932.89,Empty Description ,9/30/2023,9/30/2023
130,9,9,11261,282,6/14/2023,6/21/2023,11/26/2023,130,25249.52,Empty Description ,3/13/2023,3/13/2023
131,3,9,20278,1008,8/30/2022,9/9/2022,2/2/2023,131,43705.77,Empty Description ,7/8/2021,7/8/2021
132,8,1,27802,106,7/3/2021,7/7/2021,11/21/2021,132,33037.12,Empty Description ,9/27/2021,9/27/2021
133,2,9,18455,4978,7/1/2022,7/17/2022,3/19/2023,133,1408.34,Empty Description ,10/8/2021,10/8/2021
134,9,10,13378,691,5/21/2021,6/12/2021,9/16/2021,134,42567.76,Empty Description ,12/9/2021,12/9/2021
135,6,4,29286,3201,2/2/2023,2/5/2023,5/15/2023,135,24136.12,Empty Description ,8/22/2021,8/22/2021
136,4,5,9847,9806,4/8/2021,4/9/2021,3/25/2022,136,40432.63,Empty Description ,11/23/2022,11/23/2022
137,5,8,15024,9801,6/11/2022,6/30/2022,3/12/2023,137,20983.69,Empty Description ,8/7/2021,8/7/2021
138,1,6,26086,2407,12/26/2021,12/30/2021,5/14/2022,138,49090.32,Empty Description ,1/17/2022,1/17/2022
139,2,4,20931,8181,5/2/2022,5/26/2022,12/24/2022,139,9425.53,Empty Description ,4/29/2023,4/29/2023
140,6,9,7556,2133,2/12/2024,2/26/2024,10/30/2024,140,24044.73,Empty Description ,5/16/2022,5/16/2022
141,8,10,12236,9213,3/23/2022,4/6/2022,9/22/2022,141,49007.87,Empty Description ,6/5/2022,6/5/2022
142,3,8,13254,8533,2/16/2024,3/6/2024,1/23/2025,142,47506.23,Empty Description ,6/24/2021,6/24/2021
143,9,3,29156,4901,9/19/2023,9/23/2023,8/15/2024,143,26273.91,Empty Description ,12/7/2021,12/7/2021
144,9,1,15066,4392,12/31/2021,1/9/2022,11/26/2022,144,27432.23,Empty Description ,10/3/2023,10/3/2023
145,9,7,20907,1246,11/29/2022,12/25/2022,4/16/2023,145,43705.23,Empty Description ,6/13/2023,6/13/2023
146,6,2,20269,6227,10/8/2023,11/3/2023,8/4/2024,146,46457.96,Empty Description ,6/12/2021,6/12/2021
147,3,4,892,246,6/11/2023,6/16/2023,11/12/2023,147,37043.91,Empty Description ,3/16/2023,3/16/2023
148,9,2,26866,2784,6/26/2023,7/20/2023,2/23/2024,148,25448.35,Empty Description ,9/29/2023,9/29/2023
149,2,3,25232,31,11/1/2023,11/15/2023,7/22/2024,149,40317.17,Empty Description ,9/5/2023,9/5/2023
150,5,10,14363,6164,11/6/2023,11/8/2023,10/21/2024,150,29687.9,Empty Description ,9/10/2023,9/10/2023
151,8,3,16081,9752,5/15/2021,6/9/2021,3/4/2022,151,9113.86,Empty Description ,8/31/2023,8/31/2023
152,5,6,27794,7939,10/28/2022,11/23/2022,6/23/2023,152,582.37,Empty Description ,5/1/2023,5/1/2023
153,3,10,9676,1003,4/3/2022,4/8/2022,8/30/2022,153,1324.5,Empty Description ,9/5/2022,9/5/2022
154,1,6,29509,6979,4/29/2022,5/13/2022,3/2/2023,154,3020.7,Empty Description ,10/1/2021,10/1/2021
155,3,8,15286,1298,3/31/2024,4/4/2024,1/14/2025,155,44887.12,Empty Description ,6/26/2023,6/26/2023
156,8,10,5954,3649,9/20/2022,9/28/2022,6/5/2023,156,23653.53,Empty Description ,3/4/2022,3/4/2022
157,5,6,4600,9449,12/20/2021,1/3/2022,9/7/2022,157,32402.76,Empty Description ,1/22/2024,1/22/2024
158,3,5,10471,2342,8/25/2021,9/12/2021,5/25/2022,158,21871.52,Empty Description ,3/18/2024,3/18/2024
159,10,7,20758,3854,7/15/2023,8/2/2023,7/13/2024,159,3456.09,Empty Description ,10/2/2022,10/2/2022
160,2,2,1880,193,3/23/2024,3/24/2024,9/11/2024,160,38178.85,Empty Description ,12/1/2023,12/1/2023
161,3,6,26038,521,1/1/2022,1/24/2022,9/28/2022,161,27705.68,Empty Description ,10/14/2021,10/14/2021
162,2,4,13704,2174,10/22/2021,11/7/2021,2/19/2022,162,26244.22,Empty Description ,4/28/2023,4/28/2023
163,4,1,10353,7062,1/17/2023,2/6/2023,8/28/2023,163,28842.62,Empty Description ,5/7/2023,5/7/2023
164,3,4,954,8344,1/14/2024,2/12/2024,12/6/2024,164,29946.86,Empty Description ,7/4/2023,7/4/2023
165,4,4,12605,5932,8/18/2023,8/27/2023,2/2/2024,165,49874.84,Empty Description ,4/7/2021,4/7/2021
166,8,3,15338,5536,7/20/2023,8/12/2023,5/30/2024,166,12706.65,Empty Description ,11/4/2021,11/4/2021
167,8,3,2993,4017,5/22/2021,5/29/2021,5/25/2022,167,48159.42,Empty Description ,10/24/2023,10/24/2023
168,3,1,27631,5125,4/12/2021,5/7/2021,5/2/2022,168,46696.69,Empty Description ,5/15/2022,5/15/2022
169,7,2,17374,6809,8/20/2023,9/2/2023,8/29/2024,169,41959.86,Empty Description ,5/16/2021,5/16/2021
170,2,7,10255,211,7/20/2023,8/4/2023,11/12/2023,170,1799.3,Empty Description ,11/14/2023,11/14/2023
171,5,7,26338,636,1/27/2024,2/17/2024,6/11/2024,171,29717,Empty Description ,5/7/2022,5/7/2022
172,2,5,5158,9607,9/19/2022,10/2/2022,1/1/2023,172,16965.09,Empty Description ,4/22/2023,4/22/2023
173,3,2,23307,8055,2/1/2023,2/20/2023,9/16/2023,173,25248.62,Empty Description ,7/17/2023,7/17/2023
174,4,2,14298,9939,9/13/2021,9/20/2021,3/30/2022,174,25710.81,Empty Description ,7/28/2021,7/28/2021
175,9,1,28445,6363,7/20/2022,8/2/2022,7/21/2023,175,45754.55,Empty Description ,6/1/2023,6/1/2023
176,4,9,13402,6002,8/27/2023,9/12/2023,6/14/2024,176,40020.35,Empty Description ,3/15/2022,3/15/2022
177,2,8,17935,2355,10/19/2023,10/23/2023,8/18/2024,177,7075.45,Empty Description ,7/4/2021,7/4/2021
178,9,3,8299,379,3/3/2023,3/27/2023,11/23/2023,178,5973.28,Empty Description ,1/4/2023,1/4/2023
179,4,5,9029,7776,12/27/2021,1/5/2022,1/3/2023,179,15083.97,Empty Description ,2/21/2024,2/21/2024
180,6,7,10730,1420,11/8/2021,11/12/2021,10/23/2022,180,27621.78,Empty Description ,7/8/2021,7/8/2021
181,6,6,8163,6756,1/9/2023,1/24/2023,8/7/2023,181,37895.66,Empty Description ,3/5/2024,3/5/2024
182,2,9,18835,7628,1/15/2022,1/27/2022,5/3/2022,182,5367.49,Empty Description ,7/30/2021,7/30/2021
183,10,2,26182,2504,7/19/2023,7/24/2023,4/19/2024,183,48172.96,Empty Description ,3/20/2023,3/20/2023
184,2,6,11613,2516,10/12/2023,10/24/2023,8/19/2024,184,47268.05,Empty Description ,4/27/2022,4/27/2022
185,1,4,25674,2728,6/27/2022,7/23/2022,12/24/2022,185,30730.08,Empty Description ,1/16/2023,1/16/2023
186,9,4,3993,9744,12/5/2023,1/3/2024,12/18/2024,186,41402.27,Empty Description ,7/7/2023,7/7/2023
187,7,7,10032,4122,1/2/2023,1/30/2023,7/16/2023,187,33092.43,Empty Description ,1/16/2022,1/16/2022
188,8,3,26073,9256,4/22/2023,4/25/2023,3/7/2024,188,49315.56,Empty Description ,11/6/2023,11/6/2023
189,6,9,12333,1490,8/24/2023,9/19/2023,3/20/2024,189,17253.45,Empty Description ,4/30/2021,4/30/2021
190,4,3,7448,3331,10/8/2021,10/15/2021,9/17/2022,190,38851.24,Empty Description ,11/9/2021,11/9/2021
191,6,7,27588,4646,7/23/2023,8/21/2023,11/29/2023,191,45119.85,Empty Description ,10/16/2021,10/16/2021
192,9,5,11147,7563,1/19/2024,1/23/2024,12/25/2024,192,20463,Empty Description ,5/25/2022,5/25/2022
193,2,10,5832,8658,10/9/2022,11/6/2022,8/10/2023,193,4764.04,Empty Description ,8/19/2022,8/19/2022
194,9,2,598,9716,8/15/2022,8/16/2022,8/10/2023,194,23116.61,Empty Description ,11/5/2023,11/5/2023
195,1,8,25915,9840,11/1/2023,11/20/2023,6/16/2024,195,49616.51,Empty Description ,11/21/2022,11/21/2022
196,7,2,3611,9698,5/20/2023,6/12/2023,11/5/2023,196,2109.88,Empty Description ,5/25/2022,5/25/2022
197,7,9,10968,739,2/20/2022,2/21/2022,1/20/2023,197,17469.62,Empty Description ,5/21/2022,5/21/2022
198,10,5,11831,3755,6/23/2021,7/6/2021,11/13/2021,198,35399.92,Empty Description ,2/1/2023,2/1/2023
199,6,5,20238,4866,6/21/2023,7/9/2023,2/20/2024,199,39461.91,Empty Description ,3/13/2023,3/13/2023
200,9,10,24939,9597,11/24/2023,11/26/2023,5/18/2024,200,45679.13,Empty Description ,10/19/2023,10/19/2023
201,9,8,10278,5981,1/20/2023,1/23/2023,6/12/2023,201,10851.66,Empty Description ,12/25/2021,12/25/2021
202,4,7,11415,4348,3/14/2023,4/4/2023,11/29/2023,202,8502.26,Empty Description ,3/19/2024,3/19/2024
203,6,10,20032,8706,11/18/2021,11/24/2021,8/4/2022,203,28656.66,Empty Description ,8/21/2022,8/21/2022
204,1,9,17958,8758,5/8/2023,5/20/2023,9/19/2023,204,18059.28,Empty Description ,10/25/2023,10/25/2023
205,1,6,14003,1076,11/5/2022,11/13/2022,5/6/2023,205,26669.59,Empty Description ,1/24/2023,1/24/2023
206,6,2,4669,368,8/31/2021,9/5/2021,1/23/2022,206,48442.63,Empty Description ,12/27/2021,12/27/2021
207,6,7,13983,6944,8/7/2021,9/2/2021,5/2/2022,207,7009.78,Empty Description ,8/20/2023,8/20/2023
208,4,2,20015,1060,8/3/2021,9/1/2021,8/6/2022,208,13454.79,Empty Description ,12/11/2022,12/11/2022
209,6,1,5800,8298,3/5/2024,3/22/2024,10/8/2024,209,48750.45,Empty Description ,3/8/2022,3/8/2022
210,9,6,15321,4201,1/10/2023,2/7/2023,6/4/2023,210,10083.46,Empty Description ,10/18/2023,10/18/2023
211,3,1,5191,1294,1/13/2022,1/14/2022,6/19/2022,211,42915.19,Empty Description ,7/6/2023,7/6/2023
212,4,6,26054,9154,2/16/2024,3/11/2024,10/29/2024,212,5599.68,Empty Description ,10/22/2022,10/22/2022
213,7,3,308,2551,4/12/2022,4/16/2022,2/14/2023,213,6192.78,Empty Description ,2/25/2022,2/25/2022
214,8,4,23473,960,3/12/2023,3/17/2023,7/10/2023,214,33486.8,Empty Description ,1/14/2023,1/14/2023
215,1,9,5072,1927,6/12/2021,7/1/2021,2/27/2022,215,7488.49,Empty Description ,9/24/2021,9/24/2021
216,1,10,25001,9669,4/1/2023,4/28/2023,2/2/2024,216,23931,Empty Description ,5/15/2021,5/15/2021
217,1,5,13062,6047,11/28/2022,12/16/2022,8/5/2023,217,16945.05,Empty Description ,4/15/2023,4/15/2023
218,3,3,3834,6474,3/22/2022,3/30/2022,10/11/2022,218,40661.69,Empty Description ,8/11/2022,8/11/2022
219,8,1,21691,7715,10/26/2023,11/10/2023,10/11/2024,219,1398.85,Empty Description ,5/18/2022,5/18/2022
220,3,9,18469,8728,4/12/2021,5/10/2021,2/2/2022,220,11726.29,Empty Description ,9/27/2023,9/27/2023
221,8,4,12480,3019,4/29/2021,5/16/2021,1/10/2022,221,7267.18,Empty Description ,9/10/2021,9/10/2021
222,9,7,29922,50,3/25/2024,4/21/2024,3/25/2025,222,13919.4,Empty Description ,1/23/2024,1/23/2024
223,4,5,17315,7758,7/17/2021,7/22/2021,6/17/2022,223,2973.65,Empty Description ,9/7/2021,9/7/2021
224,5,2,3054,1963,5/20/2021,6/14/2021,10/18/2021,224,8965.73,Empty Description ,6/19/2023,6/19/2023
225,7,5,16618,7541,3/25/2023,4/13/2023,2/26/2024,225,38244.9,Empty Description ,9/29/2023,9/29/2023
226,8,3,23938,3639,8/7/2023,9/3/2023,6/3/2024,226,18545.28,Empty Description ,10/1/2021,10/1/2021
227,8,6,1323,5879,4/8/2022,5/1/2022,8/1/2022,227,35746.13,Empty Description ,2/3/2022,2/3/2022
