Id,Name,CreateDate,UpdateDate
217,Mongolia,4/6/2024,4/6/2024
218,Brunei,4/6/2024,4/6/2024
219,Myanmar,4/6/2024,4/6/2024
220,Norway,4/6/2024,4/6/2024
221,Svalbard & Jan Mayen,4/6/2024,4/6/2024
222,Nepal,4/6/2024,4/6/2024
223,Aruba,4/6/2024,4/6/2024
224,Bonaire,4/6/2024,4/6/2024
225,Curaçao,4/6/2024,4/6/2024
226,Suriname,4/6/2024,4/6/2024
227,Poland,4/6/2024,4/6/2024
228,Portugal,4/6/2024,4/6/2024
229,São Tomé & Príncipe,4/6/2024,4/6/2024
230,Timor-Leste,4/6/2024,4/6/2024
231,Moldova,4/6/2024,4/6/2024
232,Romania,4/6/2024,4/6/2024
233,Ukraine,4/6/2024,4/6/2024
234,Sri Lanka,4/6/2024,4/6/2024
235,Slovakia,4/6/2024,4/6/2024
236,Albania,4/6/2024,4/6/2024
237,Kosovo,4/6/2024,4/6/2024
238,Montenegro,4/6/2024,4/6/2024
239,Serbia,4/6/2024,4/6/2024
240,Åland Islands,4/6/2024,4/6/2024
241,Tajikistan,4/6/2024,4/6/2024
242,Thailand,4/6/2024,4/6/2024
243,Turkmenistan,4/6/2024,4/6/2024
244,Turkey,4/6/2024,4/6/2024
245,Uzbekistan,4/6/2024,4/6/2024
246,Vietnam,4/6/2024,4/6/2024
247,Taiwan,4/6/2024,4/6/2024
